GROUP,GROUPDesc,freq,period,sv,svDesc,figure,sd_value
S4,Alcoholic drinks and tobacco,Y,2001,B_CM_1920,Index,62.3,
S5,Clothing and footwear,Y,2001,B_CM_1920,Index,81.2,
S6,Durable goods,Y,2001,B_CM_1920,Index,217.7,
S7,Miscellaneous goods,Y,2001,B_CM_1920,Index,66.1,
S8,Transport,Y,2001,B_CM_1920,Index,79.4,
S9,Miscellaneous services,Y,2001,B_CM_1920,Index,80.2,
,Total,Y,2002,B_CM_1920,Index,67.8,
S1,Food,Y,2002,B_CM_1920,Index,54.7,
S2,Housing,Y,2002,B_CM_1920,Index,61.8,
S3,"Electricity, gas and water",Y,2002,B_CM_1920,Index,83.6,
S4,Alcoholic drinks and tobacco,Y,2002,B_CM_1920,Index,63.8,
S5,Clothing and footwear,Y,2002,B_CM_1920,Index,82.8,
S6,Durable goods,Y,2002,B_CM_1920,Index,203.5,
S7,Miscellaneous goods,Y,2002,B_CM_1920,Index,67.0,
S8,Transport,Y,2002,B_CM_1920,Index,79.1,
S9,Miscellaneous services,Y,2002,B_CM_1920,Index,78.3,
,Total,Y,2003,B_CM_1920,Index,65.9,
S1,Food,Y,2003,B_CM_1920,Index,53.8,
S2,Housing,Y,2003,B_CM_1920,Index,58.7,
S3,"Electricity, gas and water",Y,2003,B_CM_1920,Index,84.9,
S4,Alcoholic drinks and tobacco,Y,2003,B_CM_1920,Index,63.9,
S5,Clothing and footwear,Y,2003,B_CM_1920,Index,80.5,
S6,Durable goods,Y,2003,B_CM_1920,Index,190.2,
S7,Miscellaneous goods,Y,2003,B_CM_1920,Index,68.5,
S8,Transport,Y,2003,B_CM_1920,Index,78.7,
S9,Miscellaneous services,Y,2003,B_CM_1920,Index,76.0,
,Total,Y,2004,B_CM_1920,Index,65.6,
S1,Food,Y,2004,B_CM_1920,Index,54.4,
S2,Housing,Y,2004,B_CM_1920,Index,55.4,
S3,"Electricity, gas and water",Y,2004,B_CM_1920,Index,94.0,
S4,Alcoholic drinks and tobacco,Y,2004,B_CM_1920,Index,63.8,
S5,Clothing and footwear,Y,2004,B_CM_1920,Index,85.6,
S6,Durable goods,Y,2004,B_CM_1920,Index,187.2,
S7,Miscellaneous goods,Y,2004,B_CM_1920,Index,70.8,
S8,Transport,Y,2004,B_CM_1920,Index,79.1,
S9,Miscellaneous services,Y,2004,B_CM_1920,Index,76.0,
,Total,Y,2005,B_CM_1920,Index,66.3,
S1,Food,Y,2005,B_CM_1920,Index,55.4,
S2,Housing,Y,2005,B_CM_1920,Index,55.5,
S3,"Electricity, gas and water",Y,2005,B_CM_1920,Index,97.9,
S4,Alcoholic drinks and tobacco,Y,2005,B_CM_1920,Index,64.1,
S5,Clothing and footwear,Y,2005,B_CM_1920,Index,87.9,
S6,Durable goods,Y,2005,B_CM_1920,Index,179.3,
S7,Miscellaneous goods,Y,2005,B_CM_1920,Index,71.7,
S8,Transport,Y,2005,B_CM_1920,Index,80.3,
S9,Miscellaneous services,Y,2005,B_CM_1920,Index,76.7,
,Total,Y,2006,B_CM_1920,Index,67.7,
S1,Food,Y,2006,B_CM_1920,Index,56.3,
S2,Housing,Y,2006,B_CM_1920,Index,58.4,
S3,"Electricity, gas and water",Y,2006,B_CM_1920,Index,100.0,
S4,Alcoholic drinks and tobacco,Y,2006,B_CM_1920,Index,62.0,
S5,Clothing and footwear,Y,2006,B_CM_1920,Index,89.4,
S6,Durable goods,Y,2006,B_CM_1920,Index,165.9,
S7,Miscellaneous goods,Y,2006,B_CM_1920,Index,72.9,
S8,Transport,Y,2006,B_CM_1920,Index,81.0,
S9,Miscellaneous services,Y,2006,B_CM_1920,Index,78.4,
,Total,Y,2007,B_CM_1920,Index,69.1,
S1,Food,Y,2007,B_CM_1920,Index,58.6,
S2,Housing,Y,2007,B_CM_1920,Index,60.1,
S3,"Electricity, gas and water",Y,2007,B_CM_1920,Index,99.2,
S4,Alcoholic drinks and tobacco,Y,2007,B_CM_1920,Index,60.8,
S5,Clothing and footwear,Y,2007,B_CM_1920,Index,91.8,
S6,Durable goods,Y,2007,B_CM_1920,Index,157.2,
S7,Miscellaneous goods,Y,2007,B_CM_1920,Index,74.7,
S8,Transport,Y,2007,B_CM_1920,Index,81.0,
S9,Miscellaneous services,Y,2007,B_CM_1920,Index,79.9,
,Total,Y,2008,B_CM_1920,Index,72.3,
S1,Food,Y,2008,B_CM_1920,Index,64.3,
S2,Housing,Y,2008,B_CM_1920,Index,63.0,
S3,"Electricity, gas and water",Y,2008,B_CM_1920,Index,93.2,
S4,Alcoholic drinks and tobacco,Y,2008,B_CM_1920,Index,60.6,
S5,Clothing and footwear,Y,2008,B_CM_1920,Index,93.7,
S6,Durable goods,Y,2008,B_CM_1920,Index,153.2,
S7,Miscellaneous goods,Y,2008,B_CM_1920,Index,78.4,
S8,Transport,Y,2008,B_CM_1920,Index,82.9,
S9,Miscellaneous services,Y,2008,B_CM_1920,Index,80.9,
,Total,Y,2009,B_CM_1920,Index,72.7,
S1,Food,Y,2009,B_CM_1920,Index,65.2,
S2,Housing,Y,2009,B_CM_1920,Index,65.4,
S3,"Electricity, gas and water",Y,2009,B_CM_1920,Index,71.2,
S4,Alcoholic drinks and tobacco,Y,2009,B_CM_1920,Index,71.0,
S5,Clothing and footwear,Y,2009,B_CM_1920,Index,96.1,
S6,Durable goods,Y,2009,B_CM_1920,Index,148.0,
S7,Miscellaneous goods,Y,2009,B_CM_1920,Index,80.4,
S8,Transport,Y,2009,B_CM_1920,Index,82.3,
S9,Miscellaneous services,Y,2009,B_CM_1920,Index,79.3,
,Total,Y,2010,B_CM_1920,Index,74.4,
S1,Food,Y,2010,B_CM_1920,Index,66.7,
S2,Housing,Y,2010,B_CM_1920,Index,65.8,
S3,"Electricity, gas and water",Y,2010,B_CM_1920,Index,100.8,
S4,Alcoholic drinks and tobacco,Y,2010,B_CM_1920,Index,73.2,
S5,Clothing and footwear,Y,2010,B_CM_1920,Index,97.6,
S6,Durable goods,Y,2010,B_CM_1920,Index,142.8,
S7,Miscellaneous goods,Y,2010,B_CM_1920,Index,82.4,
S8,Transport,Y,2010,B_CM_1920,Index,83.9,
S9,Miscellaneous services,Y,2010,B_CM_1920,Index,81.0,
,Total,Y,2011,B_CM_1920,Index,78.2,
S1,Food,Y,2011,B_CM_1920,Index,71.3,
S2,Housing,Y,2011,B_CM_1920,Index,70.5,
S3,"Electricity, gas and water",Y,2011,B_CM_1920,Index,96.3,
S4,Alcoholic drinks and tobacco,Y,2011,B_CM_1920,Index,85.8,
S5,Clothing and footwear,Y,2011,B_CM_1920,Index,103.6,
S6,Durable goods,Y,2011,B_CM_1920,Index,137.2,
S7,Miscellaneous goods,Y,2011,B_CM_1920,Index,85.7,
S8,Transport,Y,2011,B_CM_1920,Index,87.2,
S9,Miscellaneous services,Y,2011,B_CM_1920,Index,83.9,
,Total,Y,2012,B_CM_1920,Index,81.6,
S1,Food,Y,2012,B_CM_1920,Index,75.6,
S2,Housing,Y,2012,B_CM_1920,Index,74.9,
S3,"Electricity, gas and water",Y,2012,B_CM_1920,Index,89.6,
S4,Alcoholic drinks and tobacco,Y,2012,B_CM_1920,Index,88.3,
S5,Clothing and footwear,Y,2012,B_CM_1920,Index,107.1,
S6,Durable goods,Y,2012,B_CM_1920,Index,135.6,
S7,Miscellaneous goods,Y,2012,B_CM_1920,Index,87.7,
S8,Transport,Y,2012,B_CM_1920,Index,89.7,
S9,Miscellaneous services,Y,2012,B_CM_1920,Index,86.2,
,Total,Y,2013,B_CM_1920,Index,85.0,
